state,city,nrows,population,start_date,end_date,date,time,type,geolocation,subgeography,subject_age,subject_race,subject_sex,reason_for_stop,warning_issued,citation_issued,arrest_made,violation,search_conducted,search_basis,frisk_performed,contraband_found,shapefiles,rds,csv_zip,has_pedestrian_stops,state_with_local_data
AR,Little Rock,13641,197780,2017-01-01,2017-11-03,1,1,1,1,0,0.9981,0.9995,0.9977,0,0,1,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ar_little_rock_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ar_little_rock_2020_04_01.csv.zip,FALSE,FALSE
AZ,Gilbert,480599,232176,2008-01-01,2018-05-23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_az_gilbert_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_az_gilbert_2020_04_01.csv.zip,TRUE,FALSE
AZ,Mesa,157015,479317,2014-01-01,2019-09-23,1,0.9962,0.9374,1,0,0.9843,1,0.9849,0,1,1,1,0.9996,0,0,0,0,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_az_mesa_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_az_mesa_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_az_mesa_2023_01_26.csv.zip,TRUE,FALSE
AZ,Statewide,3494153,6809946,2009-01-06,2017-12-31,1,1,1,1,0.8942,0,1,1,0.6940999999999999,1,1,1,0.33209999999999995,1,1,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_az_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_az_statewide_2020_04_01.csv.zip,TRUE,FALSE
CA,Anaheim,87876,349007,2012-01-01,2017-03-14,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_anaheim_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_anaheim_2020_04_01.csv.zip,FALSE,FALSE
CA,Bakersfield,189685,372680,2008-03-09,2018-03-09,1,0.9945,1,1,0.913,0.995,0.9956,0.9955,0,0,1,0,0,0,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_bakersfield_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_bakersfield_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_bakersfield_2020_04_01.csv.zip,FALSE,FALSE
CA,Long Beach,365924,470489,2008-01-01,2017-12-31,1,0,0.9222,1,0.6617999999999999,0.9453,1,0.9989,0,0,1,0,0.9965,0,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_long_beach_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_long_beach_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_long_beach_2020_04_01.csv.zip,TRUE,FALSE
CA,Los Angeles,5418400,3949776,2010-01-01,2018-06-23,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_los_angeles_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_los_angeles_2020_04_01.csv.zip,TRUE,FALSE
CA,Oakland,133405,417442,2013-04-01,2017-12-31,1,1,0.8496,1,0.45709999999999995,0.22999999999999998,1,0.9993,1,1,1,1,0,1,1,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_oakland_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_oakland_2020_04_01.csv.zip,TRUE,FALSE
CA,San Bernardino,90523,215252,2011-12-13,2017-09-19,1,1,0.7202,1,0,0,0,0,0,0,0.9972,0.9972,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_bernardino_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_bernardino_2020_04_01.csv.zip,FALSE,FALSE
CA,San Diego,382844,1390966,2014-01-01,2017-03-31,1,0.9986,1,1,1,0.9691,0.997,0.9985,0.9994,0.9165,0.9165,0.9095,0,1,1,0,1,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_diego_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_diego_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_diego_2020_04_01.csv.zip,FALSE,FALSE
CA,San Francisco,905070,864263,2007-01-01,2016-06-30,1,1,1,1,0.9423,0.9349,1,1,0.9976,1,1,1,0,1,1,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_francisco_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_francisco_2020_04_01.csv.zip,FALSE,FALSE
CA,San Jose,152833,1023031,2013-09-01,2018-03-31,1,1,0.8872,1,0,0,0.9641,0,0.9475,0,0.9976,0.9976,0,0.9767,0,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_jose_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_san_jose_2020_04_01.csv.zip,TRUE,FALSE
CA,Santa Ana,46268,334493,2014-06-11,2018-04-13,1,0,0.9989,1,0.9606,0,0.9978,0.9998,0,0,1,0,1,0,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_santa_ana_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_santa_ana_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_santa_ana_2020_04_01.csv.zip,TRUE,FALSE
CA,Statewide,31778515,38982847,2009-07-01,2016-06-30,1,0,1,1,0.997,0,1,1,1,0.6982999999999999,0.6982999999999999,0.6982999999999999,1,1,1,0.0018000000000000238,0.04310000000000003,,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_ca_statewide_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_ca_statewide_2023_01_26.csv.zip,FALSE,FALSE
CA,Stockton,41629,304358,2012-01-01,2016-12-31,1,0,1,1,0.996,0.9943,0.9951,0.9963,0.9963,0.9965,0.9965,0.9965,0,1,1,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_stockton_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ca_stockton_2020_04_01.csv.zip,FALSE,FALSE
CO,Aurora,257606,357323,2012-01-01,2020-07-31,1,0.995,0.9568,1,0,0.6488,0.9985,0.9922,0,0,1,0,0.9817,0,0,0,0,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_co_aurora_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_co_aurora_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_co_aurora_2023_01_26.csv.zip,TRUE,FALSE
CO,Denver,1870731,678467,2010-12-31,2018-07-19,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_co_denver_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_co_denver_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_co_denver_2020_04_01.csv.zip,TRUE,FALSE
