state,driver_race,pre_legalization,date_start,date_end,search_rate_start,search_rate_end
AZ,white,TRUE,2011-01-01,2012-12-08,0.04548356364673817,0.02770644824101487
AZ,black,TRUE,2011-01-01,2012-12-08,0.09201518317994023,0.06878373677279948
AZ,hispanic,TRUE,2011-01-01,2012-12-08,0.1235915454817369,0.058119150165067746
AZ,white,FALSE,2012-12-09,2015-11-30,0.034045679371719074,0.03203110485659576
AZ,black,FALSE,2012-12-09,2015-11-30,0.07757738928192949,0.07429663163939042
AZ,hispanic,FALSE,2012-12-09,2015-11-30,0.07459927031661591,0.06935402758261673
CA,white,TRUE,2011-01-01,2012-12-08,0.001114845598244972,0.0012701078842178456
CA,black,TRUE,2011-01-01,2012-12-08,0.002014628227981528,0.002456155207625612
CA,hispanic,TRUE,2011-01-01,2012-12-08,0.0014831431514110063,0.0016922271675133948
CA,white,FALSE,2012-12-09,2015-12-31,0.001317413286559883,0.0013503261369923803
CA,black,FALSE,2012-12-09,2015-12-31,0.0024500000097778876,0.0019651798361616383
CA,hispanic,FALSE,2012-12-09,2015-12-31,0.0018744597820114942,0.0017915967134500726
CO,white,TRUE,2011-01-01,2012-12-09,0.004368179199994181,0.0035680866890032345
CO,black,TRUE,2011-01-01,2012-12-09,0.011669642195113426,0.009246247116884161
CO,hispanic,TRUE,2011-01-01,2012-12-09,0.00934993554367752,0.007887337929138392
CO,white,FALSE,2012-12-10,2015-12-31,0.0017787363161891143,0.0012459119582594515
CO,black,FALSE,2012-12-10,2015-12-31,0.006005622072521075,0.00345967028041598
CO,hispanic,FALSE,2012-12-10,2015-12-31,0.004577030646577201,0.0037470371840133097
FL,white,TRUE,2011-01-01,2012-12-08,0.003628193494196224,0.002696856211675029
FL,black,TRUE,2011-01-01,2012-12-08,0.009128163489490623,0.0067414318123066586
FL,hispanic,TRUE,2011-01-01,2012-12-08,0.004373678161868736,0.003627985094781988
FL,white,FALSE,2012-12-09,2015-12-31,0.0028467461510315517,0.0024436671235648633
FL,black,FALSE,2012-12-09,2015-12-31,0.006827415719276472,0.007924606753074959
FL,hispanic,FALSE,2012-12-09,2015-12-31,0.003378363007260518,0.003840333500413688
MA,white,TRUE,2011-01-01,2012-12-08,0.008301292552974873,0.007844414085936172
MA,black,TRUE,2011-01-01,2012-12-08,0.018479283068024696,0.014593392096585944
MA,hispanic,TRUE,2011-01-01,2012-12-08,0.020013411346987774,0.019252771335003756
